gsn,atc
4888,D11AA
4902,N05BA
4918,A03AA
4920,A03AA
4923,A03AA
4924,A03AA
4927,G04BD
4928,G04BD
4929,G04BD
4930,N07BA
4931,A01AD
4931,B02BC
4931,C01CA
4931,R01AA
4931,R03AA
4931,S01EA
4934,A01AD
4934,B02BC
4934,C01CA
4934,R01AA
4934,R03AA
4934,S01EA
4999,N06BA
5000,N06BA
5001,N06BA
5002,N06BA
5003,N06BA
5005,N06BA
5006,N06BA
5007,N06BA
5009,N06BA
5010,N06BA
5011,N06BA
5014,N06BA
5025,R03AC
5025,R03CC
5026,R03AC
5026,R03CC
5032,R03AC
5032,R03CC
5033,R03AC
5033,R03CC
5034,R03AC
5034,R03CC
5037,R03AC
5037,R03CC
5039,R03AC
5039,R03CC
5040,R03AC
5040,R03CC
5053,C01CA
5053,R01AA
5053,R01AB
5053,R03CA
5053,S01FB
5083,R01BA
5089,R01BA
5090,R01BA
5091,R01BA
5095,C07AG
5096,C07AG
5098,C07AG
5099,C07AG
5100,C07AG
5108,C04AX
5112,C04AB
5112,V03AB
5113,C07AA
5114,C07AA
5115,C07AA
5116,C07AA
5120,C07AA
5121,C07AA
5123,C07AA
5124,C07AA
5125,C07AA
5126,C07AA
5127,C07AA
5129,C07AB
5131,C07AB
5132,C07AB
5133,C07AA
5134,C07AA
5135,C07AA
5136,C07AA
5137,C07AA
5138,C07AB
5139,C07AB
5140,C07AA
5140,S01ED
5141,C07AA
5141,S01ED
5142,C07AA
5142,S01ED
5143,C07AA
5144,C07AA
5145,C07AB
5146,C07AB
5149,C07AA
5150,C07AA
5150,S01ED
5152,A08AA
5154,A08AA
5155,A08AA
5159,A08AA
5160,A08AA
5163,A08AA
5164,A08AA
5227,A03FA
5229,A03FA
5230,A03FA
5231,A03FA
5232,A03FA
5258,D03BA
5259,D08AG
5259,D09AA
5259,D11AC
5259,G01AX
5259,R02AA
5259,S01AX
5362,A06AA
5418,A11HA
5612,D04AA
5612,R06AA
5615,D04AA
5615,R06AA
5641,D10AX
5642,D10AX
5738,D01AE
5738,S01BC
5754,D10AB
5754,D01AE
5754,S01BC
5763,D01AE
5763,S01BC
5777,D01AE
5777,S01BC
5789,D01AE
5789,S01BC
5790,D01AE
5790,S01BC
5797,D10AD
5797,L01XF
5798,D10AD
5798,L01XF
5799,D10AD
5799,L01XF
5800,D10AD
5800,L01XF
5801,D10AD
5801,L01XF
